%ClusterID SubID  Start Stop   Delta  Z1        Z2
69 1   0.54097811   1.78236617 0   0.57039121   0.00000000 
69 2   0.00000000   0.21315226 1   0.49512118   1.00000000 
70 1   0.00000000   0.44332144 0   0.72586294   1.00000000 
70 1   0.44332144   1.14881728 1   0.57838865   1.00000000 
70 2   0.00000000   2.18639357 0   0.18275045   1.00000000 
71 1   0.00000000   1.48140153 0   0.37201071   0.00000000 
71 1   1.48140153   1.91548093 0   0.38394636   0.00000000 
71 1   1.91548093   2.05070811 0   0.98639093   0.00000000 
71 2   0.00000000   0.13072841 0   0.95362066   0.00000000 
71 2   0.13072841   0.39297048 1   0.50242643   0.00000000 
72 1   0.00000000   0.60092169 0   0.18712999   1.00000000 
72 1   0.60092169   2.74035673 0   0.09380150   1.00000000 
72 2   0.00000000   1.55585502 0   0.31382920   1.00000000 
72 2   1.55585502   2.62614124 0   0.52741957   1.00000000 
72 2   2.62614124   2.65583924 1   0.34066851   1.00000000 
73 1   0.00000000   1.22280283 1   0.34104920   0.00000000 
73 2   0.00000000   1.54967358 0   0.34095060   1.00000000 
73 2   1.54967358   3.19462355 1   0.35678949   1.00000000 
74 1   0.00000000   0.30281690 0   0.91294282   0.00000000 
74 1   0.30281690   1.44366346 0   0.82993194   0.00000000 
74 1   1.44366346   3.83993102 0   0.66616823   0.00000000 
74 2   0.00000000   0.92633707 1   0.97597633   1.00000000 
75 1   0.00000000   1.08698748 0   0.24965623   1.00000000 
75 1   1.08698748   1.41761988 1   0.97231007   1.00000000 
75 2   0.00000000   0.30621868 0   0.21695772   0.00000000 
75 2   0.30621868   0.80479959 0   0.40833124   0.00000000 
76 1   0.00000000   0.75959383 0   0.18912515   0.00000000 
76 1   0.75959383   2.49352987 0   0.62633452   0.00000000 
76 1   2.49352987   2.64482623 1   0.80433828   0.00000000 
76 2   0.00000000   0.17317607 0   0.16382771   0.00000000 
76 2   0.17317607   0.73168139 0   0.45226601   0.00000000 
77 1   0.00000000   0.04014193 0   0.66636566   1.00000000 
77 1   0.04014193   0.97972322 1   0.60763375   1.00000000 
77 2   0.00000000   1.18742176 0   0.24936503   1.00000000 
77 2   1.18742176   2.48585370 0   0.07805875   1.00000000 
78 1   0.00000000   0.86985477 1   0.49238217   0.00000000 
78 2   0.00000000   0.22078216 0   0.09758526   1.00000000 
78 2   0.22078216   2.68580891 0   0.11547235   1.00000000 
78 2   2.68580891   3.65905721 0   0.74373710   1.00000000 
79 1   0.00000000   0.05305006 1   0.55153290   1.00000000 
79 2   0.00000000   0.08833478 1   0.08011832   1.00000000 
80 1   0.00000000   0.01317557 0   0.50256860   1.00000000 
80 2   0.00000000   0.26981495 0   0.40017107   1.00000000 
80 2   0.26981495   1.15480839 1   0.67521397   1.00000000 
81 1   0.00000000   0.41115804 1   0.85295351   0.00000000 
81 2   0.00000000   0.04785942 0   0.72269896   1.00000000 
82 1   0.00000000   0.22907623 0   0.22013504   1.00000000 
82 2   0.00000000   0.34086501 0   0.31447138   0.00000000 
82 2   0.34086501   0.91826369 0   0.32040540   0.00000000 
82 2   0.91826369   1.98942935 1   0.05355850   0.00000000 
83 1   0.00000000   2.10973340 0   0.76670380   1.00000000 
83 2   0.00000000   0.01085979 0   0.55543783   0.00000000 
83 2   0.01085979   2.03273206 0   0.24362564   0.00000000 
84 1   0.00000000   0.86161263 0   0.46340159   1.00000000 
84 2   0.00000000   2.27636067 0   0.69845789   1.00000000 
84 2   2.27636067   3.12502388 0   0.98179720   1.00000000 
84 2   3.12502388   3.59493390 0   0.06551167   1.00000000 
85 1   0.00000000   1.81749257 0   0.54624442   1.00000000 
85 1   1.81749257   2.55622733 0   0.72993395   1.00000000 
85 2   0.00000000   1.08241681 0   0.59470549   0.00000000 
86 1   0.00000000   1.50358953 0   0.68675433   1.00000000 
86 2   0.00000000   0.00184791 0   0.92962559   0.00000000 
86 2   0.00184791   1.40866552 0   0.21728050   0.00000000 
87 1   0.00000000   0.53350891 0   0.42555068   0.00000000 
87 1   0.53350891   2.68422099 0   0.23031578   0.00000000 
87 1   2.68422099   2.70282121 0   0.91732858   0.00000000 
87 2   0.00000000   0.30010540 1   0.31489308   0.00000000 
88 1   0.00000000   0.69030798 0   0.55394022   1.00000000 
88 1   0.69030798   2.00620074 0   0.07327077   1.00000000 
88 1   2.00620074   3.70804275 0   0.46175799   1.00000000 
88 2   0.00000000   1.99559940 0   0.00977609   1.00000000 
88 2   1.99559940   3.63479476 0   0.30670232   1.00000000 
88 2   3.63479476   3.95609693 0   0.74582417   1.00000000 
89 1   0.00000000   0.43308611 0   0.59257697   0.00000000 
89 1   0.43308611   1.89419280 0   0.44106698   0.00000000 
89 2   0.00000000   0.46210006 0   0.62893859   0.00000000 
89 2   0.46210006   2.00990433 0   0.57096045   0.00000000 
89 2   2.00990433   2.28966623 0   0.13235782   0.00000000 
90 1   0.00000000   0.75690342 1   0.81298551   0.00000000 
90 2   0.00000000   0.81507321 1   0.40456373   0.00000000 
91 1   0.00000000   0.66837293 1   0.14015317   0.00000000 
91 2   0.00000000   2.42944165 0   0.90644757   1.00000000 
91 2   2.42944165   3.76690840 0   0.66437600   1.00000000 
91 2   3.76690840   3.90165187 0   0.16743623   1.00000000 
92 1   0.00000000   0.65867745 0   0.28920916   0.00000000 
92 1   0.65867745   0.69521906 1   0.73836259   0.00000000 
92 2   0.00000000   0.80008081 0   0.64586126   1.00000000 
92 2   0.80008081   2.95820690 0   0.99026662   1.00000000 
92 2   2.95820690   3.43560494 0   0.41116358   1.00000000 
93 1   0.00000000   0.04842452 0   0.46773314   0.00000000 
93 1   0.04842452   0.66990417 1   0.19095199   0.00000000 
93 2   0.00000000   0.20717099 1   0.39058009   0.00000000 
94 1   0.00000000   1.06612285 0   0.58169659   0.00000000 
94 1   1.06612285   2.70562366 0   0.57465434   0.00000000 
94 2   0.00000000   0.81540377 0   0.12277929   1.00000000 
94 2   0.81540377   0.95536475 0   0.55159383   1.00000000 
94 2   0.95536475   1.05462193 1   0.63743263   1.00000000 
95 1   0.00000000   1.11705515 0   0.45122566   0.00000000 
95 2   0.00000000   1.26881145 0   0.01479435   0.00000000 
96 1   0.00000000   0.94228834 0   0.26001516   1.00000000 
96 1   0.94228834   0.99151014 0   0.07486399   1.00000000 
96 2   0.00000000   1.44061832 0   0.11801086   1.00000000 
96 2   1.44061832   1.75030884 0   0.40852388   1.00000000 
96 2   1.75030884   3.01269385 0   0.06078300   1.00000000 
97 1   0.00000000   0.93919908 0   0.22974037   0.00000000 
97 2   0.00000000   1.61028734 1   0.55643524   1.00000000 
98 1   0.00000000   0.36578679 0   0.45536240   0.00000000 
98 1   0.36578679   0.74784409 0   0.27578277   0.00000000 
98 2   0.00000000   0.90811187 0   0.65905276   1.00000000 
98 2   0.90811187   1.82786387 0   0.69978733   1.00000000 
98 2   1.82786387   1.84565807 0   0.32563533   1.00000000 
99 1   0.00000000   0.03930556 0   0.72077498   0.00000000 
99 1   0.03930556   0.16812794 1   0.06501281   0.00000000 
99 2   0.00000000   0.20925121 1   0.67421179   1.00000000 
100 1   0.00000000   0.74072325 0   0.56453905   1.00000000 
100 2   0.00000000   0.17765969 0   0.58826298   1.00000000 
100 2   0.17765969   1.92648022 0   0.93587602   1.00000000 
100 2   1.92648022   2.57161643 0   0.26820107   1.00000000 
101 1   0.00000000   0.01508024 0   0.63865175   1.00000000 
101 2   0.00000000   0.91536567 0   0.13772085   1.00000000 
101 2   0.91536567   1.91854081 0   0.67426940   1.00000000 
101 2   1.91854081   1.92978574 0   0.44575749   1.00000000 
102 1   0.00000000   0.74388249 0   0.60823951   1.00000000 
102 1   0.74388249   2.40403882 0   0.68149791   1.00000000 
102 2   0.00000000   0.71882305 0   0.71422302   1.00000000 
102 2   0.71882305   1.25893121 0   0.94627553   1.00000000 
102 2   1.25893121   1.97832345 1   0.05286221   1.00000000 
103 1   0.00000000   1.13298300 1   0.79888137   1.00000000 
103 2   0.00000000   0.98129519 0   0.39094724   1.00000000 
104 1   0.00000000   2.16384336 0   0.34302815   1.00000000 
104 2   0.00000000   1.32727208 0   0.86547208   0.00000000 
104 2   1.32727208   2.13926942 0   0.98925063   0.00000000 
105 1   0.00000000   2.62173912 0   0.45685192   0.00000000 
105 1   2.62173912   3.56933584 0   0.31028753   0.00000000 
105 1   3.56933584   3.97770540 0   0.00243420   0.00000000 
105 2   0.00000000   2.34039564 0   0.88566576   1.00000000 
106 1   0.00000000   0.06717780 1   0.20153965   0.00000000 
106 2   0.00000000   0.17342865 1   0.26494384   0.00000000 
107 1   0.00000000   0.14594251 1   0.85656186   1.00000000 
107 2   0.00000000   1.31788386 0   0.81103301   1.00000000 
107 2   1.31788386   1.55917466 0   0.03172744   1.00000000 
108 1   0.00000000   2.00954250 0   0.59519018   1.00000000 
108 1   2.00954250   2.03362393 0   0.36128948   1.00000000 
108 2   0.00000000   0.96459776 0   0.86091905   0.00000000 
109 1   0.00000000   1.66902936 1   0.69451807   0.00000000 
109 2   0.00000000   0.70433791 0   0.36960416   0.00000000 
110 1   0.00000000   0.21810229 0   0.50443971   1.00000000 
110 2   0.00000000   1.47187943 0   0.78373250   1.00000000 
110 2   1.47187943   1.87749955 0   0.19214024   1.00000000 
110 2   1.87749955   3.39336922 0   0.30097979   1.00000000 
111 1   0.00000000   1.38814618 0   0.64320165   1.00000000 
111 1   1.38814618   2.81819409 0   0.29012295   1.00000000 
111 1   2.81819409   3.88213447 0   0.09647744   1.00000000 
111 2   0.00000000   0.30977875 0   0.31102186   0.00000000 
112 1   0.00000000   0.42014915 0   0.36169703   0.00000000 
112 1   0.42014915   1.03959185 0   0.04193552   0.00000000 
112 1   1.03959185   2.92431028 0   0.81028911   0.00000000 
112 2   0.00000000   1.30531775 0   0.03939750   1.00000000 
112 2   1.30531775   2.31560479 0   0.15378264   1.00000000 
113 1   0.00000000   0.99117481 0   0.23315622   0.00000000 
113 2   0.00000000   0.99031249 1   0.79341081   0.00000000 
114 1   0.00000000   1.35213746 0   0.36944510   0.00000000 
114 2   0.00000000   0.89664238 0   0.55180170   1.00000000 
115 1   0.00000000   0.57292869 0   0.30657017   1.00000000 
115 1   0.57292869   1.21242496 0   0.52489624   1.00000000 
115 1   1.21242496   2.02986022 0   0.93106833   1.00000000 
115 2   0.00000000   0.89568085 0   0.10350070   0.00000000 
116 1   0.00000000   0.84988830 0   0.01816839   1.00000000 
116 1   0.84988830   1.77264532 0   0.35606485   1.00000000 
116 1   1.77264532   3.03300507 0   0.38198367   1.00000000 
116 2   0.00000000   1.00335168 0   0.51059988   0.00000000 
117 1   0.00000000   0.03850009 0   0.83504823   0.00000000 
117 1   0.03850009   1.83365847 0   0.65553601   0.00000000 
117 2   0.00000000   1.61660929 0   0.87084285   0.00000000 
117 2   1.61660929   2.08862644 0   0.25576835   0.00000000 
118 1   0.00000000   0.94687276 0   0.97576890   0.00000000 
118 2   0.00000000   1.21901264 0   0.98637991   0.00000000 
118 2   1.21901264   2.25296602 0   0.08712034   0.00000000 
119 1   0.00000000   1.35987719 1   0.05221177   1.00000000 
119 2   0.00000000   1.20941809 0   0.33657230   0.00000000 
119 2   1.20941809   2.68991172 0   0.77065954   0.00000000 
119 2   2.68991172   3.74122184 0   0.47482966   0.00000000 
120 1   0.00000000   0.92387685 0   0.89956385   0.00000000 
120 1   0.92387685   1.85716303 0   0.96956193   0.00000000 
120 2   0.00000000   0.13937607 1   0.06572311   1.00000000 
121 1   0.00000000   1.75039506 0   0.72244504   1.00000000 
121 1   1.75039506   3.43962339 0   0.13376180   1.00000000 
121 1   3.43962339   3.85351235 0   0.13449361   1.00000000 
121 2   0.00000000   1.33934348 0   0.72088561   1.00000000 
122 1   0.00000000   0.29785578 1   0.59360686   0.00000000 
122 2   0.00000000   0.95281902 0   0.50731728   1.00000000 
122 2   0.95281902   1.79823671 1   0.48159038   1.00000000 
123 1   0.00000000   0.88171536 0   0.69897405   1.00000000 
123 1   0.88171536   1.66148248 0   0.65685794   1.00000000 
123 2   0.00000000   1.82468122 0   0.85432995   1.00000000 
123 2   1.82468122   2.35507971 0   0.72351060   1.00000000 
123 2   2.35507971   2.99699957 0   0.04270170   1.00000000 
124 1   0.00000000   1.04589093 0   0.57222937   0.00000000 
124 1   1.04589093   2.16244971 0   0.45902622   0.00000000 
124 2   0.00000000   0.68402538 0   0.25026564   1.00000000 
125 1   0.00000000   0.53808523 0   0.87523719   1.00000000 
125 2   0.00000000   1.65113930 0   0.67455051   0.00000000 
125 2   1.65113930   2.13674078 0   0.17041139   0.00000000 
126 1   0.00000000   1.07226179 0   0.05295898   1.00000000 
126 1   1.07226179   1.50390979 0   0.08160416   1.00000000 
126 1   1.50390979   3.20036018 0   0.52111612   1.00000000 
126 2   0.00000000   3.38498459 0   0.21812022   1.00000000 
126 2   3.38498459   3.43600122 0   0.94657252   1.00000000 
126 2   3.43600122   3.58804638 0   0.04440312   1.00000000 
127 1   0.00000000   1.08419881 0   0.53232923   1.00000000 
